timestamp,ecg,acc,temp,ir,red
1969CC1E324,8CE,NR,NR,NR,NR
1969CC1E32B,82A,NR,NR,1D8D3,1D8C8
1969CC1E32E,7E3,NR,NR,NR,NR
1969CC1E332,827,NR,NR,NR,NR
1969CC1E335,8F0,NR,NR,1D84D,1D915
1969CC1E33C,810,NR,NR,NR,NR
1969CC1E33F,NR,NR,NR,1D84D,1D915
1969CC1E343,7FF,NR,NR,NR,NR
1969CC1E346,8D5,NR,NR,NR,NR
1969CC1E34D,81F,NR,NR,1D84D,1D915
1969CC1E354,89D,NR,NR,1D84D,1D915
1969CC1E357,8F1,NR,NR,NR,NR
1969CC1E35B,8C0,NR,NR,NR,NR
1969CC1E35E,7E0,NR,NR,1D84D,1D7DF
1969CC1E362,7ED,NR,NR,NR,NR
1969CC1E368,8CA,NR,NR,1D84D,1D7DF
1969CC1E36C,86F,NR,NR,NR,NR
1969CC1E36F,7FE,NR,NR,NR,NR
1969CC1E373,NR,NR,NR,1D84D,1D7DF
1969CC1E376,8A5,NR,NR,NR,NR
1969CC1E379,8E7,NR,NR,NR,NR
1969CC1E37D,851,NR,NR,1D84D,1D7DF
1969CC1E380,7EB,NR,NR,NR,NR
1969CC1E384,7E2,NR,NR,NR,NR
1969CC1E387,8D0,0.98,NR,1D853,1D869
1969CC1E38A,8D5,NR,NR,NR,NR
1969CC1E38E,891,NR,NR,NR,NR
1969CC1E391,7E8,NR,NR,1D853,1D869
1969CC1E395,7EF,NR,NR,NR,NR
1969CC1E398,863,NR,NR,NR,NR
1969CC1E39B,8D3,NR,NR,1D853,1D869
1969CC1E39F,81D,NR,NR,NR,NR
1969CC1E3A2,7E5,NR,NR,1D853,1D869
1969CC1E3A6,815,NR,NR,NR,NR
1969CC1E3A9,88A,NR,NR,NR,NR
1969CC1E3AD,905,NR,NR,NR,NR
1969CC1E3B0,831,NR,NR,1D7B4,1D858
1969CC1E3B4,7F2,NR,NR,NR,NR
1969CC1E3B7,894,NR,NR,1D7B4,1D858
1969CC1E3BA,902,NR,NR,NR,NR
1969CC1E3BE,8F0,NR,NR,NR,NR
1969CC1E3C1,89F,NR,NR,NR,NR
1969CC1E3C5,833,NR,NR,1D7B4,1D858
1969CC1E3C8,890,NR,NR,NR,NR
1969CC1E3CC,911,NR,NR,NR,NR
1969CC1E3CF,915,NR,NR,1D7B4,1D858
1969CC1E3D2,881,NR,NR,NR,NR
1969CC1E3D6,NR,NR,NR,1D78B,1D930
1969CC1E3D9,902,NR,NR,NR,NR
1969CC1E3DD,987,NR,NR,NR,NR
1969CC1E3E0,8F9,NR,NR,1D78B,1D930
1969CC1E3E4,894,NR,NR,NR,NR
1969CC1E3E7,893,NR,NR,NR,NR
1969CC1E3EA,906,NR,NR,1D78B,1D930
1969CC1E3EE,95B,NR,NR,NR,NR
1969CC1E3F1,8BB,NR,NR,NR,NR
1969CC1E3F8,850,NR,NR,1D78B,1D930
1969CC1E3FB,88F,NR,NR,NR,NR
1969CC1E3FF,8DF,NR,NR,1D7A8,1D897
1969CC1E402,87F,NR,NR,NR,NR
1969CC1E406,80E,NR,NR,NR,NR
1969CC1E409,7D9,NR,NR,1D7A8,1D897
1969CC1E40D,886,NR,NR,NR,NR
1969CC1E410,8CB,NR,NR,NR,NR
1969CC1E413,830,NR,NR,1D7A8,1D897
1969CC1E417,7C9,NR,NR,NR,NR
1969CC1E41A,7C0,NR,NR,NR,NR
1969CC1E41D,8A3,NR,NR,1D7A8,1D897
1969CC1E421,880,NR,NR,NR,NR
1969CC1E424,81D,NR,NR,NR,NR
1969CC1E428,795,NR,NR,1D8AB,1D8A5
1969CC1E42B,7E0,NR,NR,NR,NR
1969CC1E42F,84B,NR,NR,NR,NR
1969CC1E432,88D,NR,NR,1D8AB,1D8A5
1969CC1E435,7C9,NR,NR,NR,NR
1969CC1E439,79C,NR,NR,NR,NR
1969CC1E43C,7E5,NR,NR,1D8AB,1D8A5
1969CC1E440,81B,NR,NR,NR,NR
1969CC1E443,7EF,NR,NR,NR,NR
1969CC1E447,6C0,NR,NR,1D8AB,1D8A5
1969CC1E44A,714,NR,NR,NR,NR
1969CC1E44E,7EB,NR,NR,NR,NR
1969CC1E451,A90,NR,NR,1D8D0,1D952
1969CC1E454,BCB,NR,NR,NR,NR
1969CC1E458,B75,NR,NR,1D8D0,1D952
1969CC1E45B,B3F,NR,NR,NR,NR
1969CC1E45E,B02,NR,NR,NR,NR
1969CC1E465,823,NR,NR,1D8D0,1D952
1969CC1E469,690,NR,NR,NR,NR
1969CC1E46C,5C0,NR,NR,1D8D0,1D952
1969CC1E470,5D6,NR,NR,NR,NR
1969CC1E473,699,NR,NR,NR,NR
1969CC1E47A,640,NR,NR,1D8BE,1D998
1969CC1E47D,677,NR,NR,NR,NR
1969CC1E481,NR,NR,28.17,NR,NR
1969CC1E484,7F0,NR,NR,1D8BE,1D998
1969CC1E487,7D0,0.97,NR,NR,NR
1969CC1E48B,NR,NR,NR,1D8BE,1D998
1969CC1E48E,7A8,NR,NR,NR,NR
1969CC1E492,7FB,NR,NR,NR,NR
1969CC1E495,88E,NR,NR,1D8BE,1D998
1969CC1E498,818,NR,NR,NR,NR
1969CC1E49C,7B9,NR,NR,NR,NR
1969CC1E49F,7DF,NR,NR,1D801,1D982
1969CC1E4A3,8AC,NR,NR,NR,NR
1969CC1E4A6,8C9,NR,NR,NR,NR
1969CC1E4AA,NR,NR,NR,1D801,1D982
1969CC1E4AD,7FF,NR,NR,NR,NR
1969CC1E4B0,7FF,NR,NR,NR,NR
1969CC1E4B4,8C2,NR,NR,1D801,1D982
1969CC1E4B7,8B3,NR,NR,NR,NR
1969CC1E4BE,7FF,NR,NR,1D801,1D982
1969CC1E4C1,865,NR,NR,NR,NR
1969CC1E4C5,8CD,NR,NR,NR,NR
1969CC1E4C8,8B1,NR,NR,1D8E9,1DA92
1969CC1E4CC,85B,NR,NR,NR,NR
1969CC1E4CF,826,NR,NR,NR,NR
1969CC1E4D2,8B9,NR,NR,1D8E9,1DA92
1969CC1E4D6,92D,NR,NR,NR,NR
1969CC1E4D9,90B,NR,NR,NR,NR
1969CC1E4DD,86E,NR,NR,1D8E9,1DA92
1969CC1E4E0,830,NR,NR,NR,NR
1969CC1E4E3,890,NR,NR,NR,NR
1969CC1E4EA,91A,NR,NR,1D8E9,1DA92
1969CC1E4EE,8AD,NR,NR,NR,NR
1969CC1E4F1,863,NR,NR,1D8FA,1DA03
1969CC1E4F4,8F2,NR,NR,NR,NR
1969CC1E4F8,94E,NR,NR,NR,NR
1969CC1E4FB,90A,NR,NR,1D8FA,1DA03
1969CC1E4FF,885,NR,NR,NR,NR
1969CC1E502,880,NR,NR,NR,NR
1969CC1E506,906,NR,NR,1D8FA,1DA03
1969CC1E509,98F,NR,NR,NR,NR
1969CC1E50C,95A,NR,NR,NR,NR
1969CC1E510,897,NR,NR,1D8FA,1DA03
1969CC1E513,8B3,NR,NR,NR,NR
1969CC1E51A,983,NR,NR,1D8C0,1DA14
1969CC1E51D,8F0,NR,NR,NR,NR
1969CC1E524,8AB,NR,NR,1D8C0,1DA14
1969CC1E528,97B,NR,NR,NR,NR
1969CC1E52B,9A5,NR,NR,1D8C0,1DA14
1969CC1E52F,951,NR,NR,NR,NR
1969CC1E532,8AE,NR,NR,NR,NR
1969CC1E535,8E7,NR,NR,1D8C0,1DA14
1969CC1E539,94A,NR,NR,NR,NR
1969CC1E53C,974,NR,NR,NR,NR
1969CC1E540,8E6,NR,NR,NR,NR
1969CC1E543,861,NR,NR,1D874,1D8F2
1969CC1E547,876,NR,NR,NR,NR
1969CC1E54A,NR,NR,NR,1D874,1D8F2
1969CC1E54D,8F0,NR,NR,NR,NR
1969CC1E551,8A4,NR,NR,NR,NR
1969CC1E554,828,NR,NR,NR,NR
1969CC1E558,814,NR,NR,1D874,1D8F2
1969CC1E55B,8BE,NR,NR,NR,NR
1969CC1E55E,8F0,NR,NR,NR,NR
1969CC1E562,837,NR,NR,1D874,1D8F2
1969CC1E565,7CB,NR,NR,NR,NR
1969CC1E569,NR,NR,NR,1D920,1D855
1969CC1E56C,870,NR,NR,NR,NR
1969CC1E56F,840,NR,NR,NR,NR
1969CC1E573,7BE,NR,NR,1D920,1D855
1969CC1E576,7AF,NR,NR,NR,NR
1969CC1E57A,7F1,NR,NR,NR,NR
1969CC1E57D,89F,NR,NR,1D920,1D855
1969CC1E581,890,NR,NR,NR,NR
1969CC1E584,7BB,NR,NR,NR,NR
1969CC1E588,7A3,0.98,NR,1D920,1D855
1969CC1E58B,7EE,NR,NR,NR,NR
1969CC1E58E,893,NR,NR,NR,NR
1969CC1E592,847,NR,NR,1D922,1D81F
1969CC1E595,79B,NR,NR,NR,NR
1969CC1E598,7A6,NR,NR,NR,NR
1969CC1E59C,NR,NR,NR,1D922,1D81F
1969CC1E59F,8AB,NR,NR,NR,NR
1969CC1E5A3,84E,NR,NR,NR,NR
1969CC1E5A6,7D7,NR,NR,1D922,1D81F
1969CC1E5AA,7D7,NR,NR,NR,NR
1969CC1E5AD,830,NR,NR,NR,NR
1969CC1E5B0,8A5,NR,NR,1D922,1D81F
1969CC1E5B4,86B,NR,NR,NR,NR
1969CC1E5B7,7D6,NR,NR,NR,NR
1969CC1E5BB,7BF,NR,NR,1D905,1D840
1969CC1E5BE,8A5,NR,NR,NR,NR
1969CC1E5C5,830,NR,NR,1D905,1D840
1969CC1E5C8,7BD,NR,NR,NR,NR
1969CC1E5CC,7C7,NR,NR,NR,NR
1969CC1E5CF,89B,NR,NR,1D905,1D840
1969CC1E5D3,8BC,NR,NR,NR,NR
1969CC1E5D6,830,NR,NR,NR,NR
1969CC1E5D9,7D0,NR,NR,1D905,1D840
1969CC1E5DD,806,NR,NR,NR,NR
1969CC1E5E0,86E,NR,NR,NR,NR
1969CC1E5E4,895,NR,NR,1DA3E,1D8F8
1969CC1E5E7,841,NR,NR,NR,NR
1969CC1E5EA,7DD,NR,NR,1DA3E,1D8F8
1969CC1E5EE,84E,NR,NR,NR,NR
1969CC1E5F1,8D5,NR,NR,NR,NR
1969CC1E5F8,82E,NR,NR,1DA3E,1D8F8
1969CC1E5FB,7E5,NR,NR,NR,NR
1969CC1E5FF,853,NR,NR,1DA3E,1D8F8
1969CC1E602,8DC,NR,NR,NR,NR
1969CC1E606,877,NR,NR,NR,NR
1969CC1E609,7F2,NR,NR,1DA03,1D954
1969CC1E60C,7D3,NR,NR,NR,NR
1969CC1E610,830,NR,NR,NR,NR
1969CC1E613,NR,NR,NR,1DA03,1D954
1969CC1E617,863,NR,NR,NR,NR
1969CC1E61A,7EF,NR,NR,NR,NR
1969CC1E621,86C,NR,NR,1DA03,1D954
1969CC1E624,8CC,NR,NR,NR,NR
1969CC1E628,850,NR,NR,1DA03,1D954
1969CC1E62B,7E3,NR,NR,NR,NR
1969CC1E62E,7F0,NR,NR,NR,NR
1969CC1E632,NR,NR,NR,1D979,1D8FC
1969CC1E635,8D1,NR,NR,NR,NR
1969CC1E639,84B,NR,NR,NR,NR
1969CC1E63F,7EF,NR,NR,1D979,1D8FC
